Lid,Name,Resume,MapBelong,BasicMessage,ImgHref,X,Y,DeprecatedFlag
1,计算机中心,计算机中心位于上海理工大学北校区湛恩图书馆左侧，常常承办一些计算机类的比赛，同,NULL,NULL,NULL,NULL,NULL,0
2,图书馆,：学校580校区，共有两个大型图书馆，分别是位于北校区的湛恩图书馆，和334校区图书,NULL,NULL,NULL,NULL,NULL,0
3,第一教学楼,第一教学楼，简称“一教”，位于上海理工大学580校区，靠近516号校门，设施齐全，同学们,NULL,NULL,NULL,NULL,NULL,0
4,公共服务中心,学校多个职能办公室所在地,NULL,NULL,NULL,NULL,NULL,0
