Tid,TypeName,TypeResume
1,比赛等级,一个比赛的等级划分，通常有国、市、校
2,比赛需求,该比赛需要的技术
3,活动综测分,参与该活动能够提供综测分
4,资源共享,最早获得各类资源的一手消息，及时抓住机会，提升自我
5,比赛专业倾向,针对特定的专业，进行相关比赛的推荐
6,资源数量等级,根据数量等级，方便判断是否选择该资源
7,资源适用人群,针对不同年级，或者专业等一些人群特点进行划分推荐
8,资源使用目的,针对不同目的进行筛选推荐
9,活动时长,针对大家对于时间的规划，进行划分
10,影响方向,针对不同方向，进行资源信息筛选
