Hid,Description,Name,Type,Model,DeprecatedFlag
1,,考研,个人发展,NULL,0
2,,保研,个人发展,NULL,0
3,,竞赛,个人发展,NULL,0
4,,出国留学,个人发展,NULL,0
5,,课外实践,个人提升,NULL,0
6,,语言,个人提升,NULL,0
7,,证书考取,个人提升,NULL,0
8,,阅读,个人提升,NULL,0
9,NULL,前端设计,专业爱好,NULL,0
10,NULL,后端开发,专业爱好,NULL,0
11,NULL,数据挖掘,专业爱好,NULL,0
12,NULL,数据分析,专业爱好,NULL,0
13,NULL,Python语言,专业爱好,NULL,0
14,NULL,C语言,专业爱好,NULL,0
15,NULL,C++语言,专业爱好,NULL,0
16,NULL,Java语言,专业爱好,NULL,0
17,NULL,实习就业,个人发展,NULL,0
